Name [EN],Type,BP Name,Force Spawn Command (Full Patch)
Long Gun Ammo,Ammo,Ammo_LongGun_C,summon /Game/World_Base/Items/Ammo/Ammo_LongGun.Ammo_LongGun_C
Hand Gun Ammo,Ammo,Ammo_HandGun_C,summon /Game/World_Base/Items/Ammo/Ammo_HandGun.Ammo_HandGun_C
Alpha/Omega,Long Gun,Weapon_AlphaOmega_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/AlphaOmega/Weapon_AlphaOmega.Weapon_AlphaOmega_C
Aphelion,Long Gun,Weapon_Aphelion_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/Aphelion/Weapon_Aphelion.Weapon_Aphelion_C
Corrupted Aphelion,Long Gun,Weapon_CorruptedAphelion_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/CorruptedAphelion/Weapon_CorruptedAphelion.Weapon_CorruptedAphelion_C
Crescent Moon,Bow,Weapon_CrescentMoon_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/CrescentMoon/Weapon_CrescentMoon.Weapon_CrescentMoon_C
Deceit,Long Gun,Weapon_Deceit_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/Deceit/Weapon_Deceit.Weapon_Deceit_C
Corrupted Deceit,Long Gun,Weapon_CorruptedDeceit_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/CorruptedDeceit/Weapon_CorruptedDeceit.Weapon_CorruptedDeceit_C
Merciless,Long Gun,Weapon_Merciless_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/Merciless/Weapon_Merciless.Weapon_Merciless_C
Corrupted Merciless,Long Gun,Weapon_CorruptedMerciless_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/CorruptedMerciless/Weapon_CorruptedMerciless.Weapon_CorruptedMerciless_C
Nightfall,Long Gun,Weapon_Nightfall_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/Nightfall/Weapon_Nightfall.Weapon_Nightfall_C
Plasma Cutter,Long Gun,Weapon_PlasmaCutter_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/PlasmaCutter/Weapon_PlasmaCutter.Weapon_PlasmaCutter_C
Repulsor,Long Gun,Weapon_Repulsor_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/Repulsor/Weapon_Repulsor.Weapon_Repulsor_C
Sagittarius,Bow,Weapon_Sagittarius_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/Sagittarius/Weapon_Sagittarius.Weapon_Sagittarius_C
Savior,Long Gun,Weapon_Savior_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/Savior/Weapon_Savior.Weapon_Savior_C
Corrupted Savior,Long Gun,Weapon_CorruptedSavior_C,summon /Game/Events/Valentines/Items/Weapons/Corrupted_Savior/Weapon_CorruptedSavior.Weapon_CorruptedSavior_C
Sporebloom,Long Gun,Weapon_Sporebloom_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/Sporebloom/Weapon_Sporebloom.Weapon_Sporebloom_C
Starkiller,Long Gun,Weapon_Starkiller_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/Starkiller/Weapon_Starkiller.Weapon_Starkiller_C
Twisted Arbalest,Long Gun,Weapon_TwistedArbalest_C,summon /Game/World_Base/Items/Weapons/Longguns/Special/TwistedArbalest/Weapon_TwistedArbalest.Weapon_TwistedArbalest_C
Corrupted Arbalest,Long Gun,Weapon_CorruptedTwistedArbalest_C,summon /Game/Events/Valentines/Items/Weapons/CorruptedTwistedArbalest/Weapon_CorruptedTwistedArbalest.Weapon_CorruptedTwistedArbalest_C
Monarch,Long Gun,Weapon_Monarch_C,summon /Game/World_DLC1/Items/Weapons/Monarch/Blueprints/Weapon_Monarch.Weapon_Monarch_C
Monolith,Long Gun,Weapon_Monolith_C,summon /Game/World_DLC2/Items/Weapons/Monolith/Weapon_Monolith.Weapon_Monolith_C
Polygun,Long Gun,Weapon_Polygun_C,summon /Game/World_DLC2/Items/Weapons/Polygun/Weapon_Polygun.Weapon_Polygun_C
Thorn,Long Gun,Weapon_Thorn_C,summon /Game/World_DLC2/Items/Weapons/Thorn/Weapon_Thorn.Weapon_Thorn_C
Genesis,Bow,Weapon_Genesis_C,summon /Game/World_DLC3/Items/Weapons/Genesis/Weapon_Genesis.Weapon_Genesis_C
Monorail,Long Gun,Weapon_Monorail_C,summon /Game/World_DLC3/Items/Weapons/Monorail/Weapon_Monorail.Weapon_Monorail_C
Blackmaw AR-47,Long Gun,Weapon_AssaultRifle_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/AssaultRifle/Weapon_AssaultRifle.Weapon_AssaultRifle_C
"AS-10 ""Bulldog""",Long Gun,Weapon_AutoShotgun_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/AutoShotgun/Weapon_AutoShotgun.Weapon_AutoShotgun_C
Royal Hunting Bow,Bow,Weapon_Bow_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/Bow/Weapon_Bow.Weapon_Bow_C
Pulse Rifle,Long Gun,Weapon_PulseRifle_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/BurstRifle/Weapon_PulseRifle.Weapon_PulseRifle_C
Coach Gun,Long Gun,Weapon_CoachGun_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/Coachgun/Weapon_CoachGun.Weapon_CoachGun_C
Crossbow,Bow,Weapon_Crossbow_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/Crossbow/Weapon_Crossbow.Weapon_Crossbow_C
Huntmaster M1,Long Gun,Weapon_Huntmaster_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/Huntmaster/Weapon_Huntmaster.Weapon_Huntmaster_C
Rusty Lever Action,Long Gun,Weapon_LeverAction_Rusty_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/LeverAction/Weapon_LeverAction_Rusty.Weapon_LeverAction_Rusty_C
Wrangler 1860,Long Gun,Weapon_LeverAction_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/LeverAction/Weapon_LeverAction.Weapon_LeverAction_C
"XMG57 ""Bonesaw""",Long Gun,Weapon_LMG_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/LMG/Weapon_LMG.Weapon_LMG_C
Ford's Scattergun,Long Gun,Weapon_Shotgun_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/Shotgun/Weapon_Shotgun.Weapon_Shotgun_C
Widowmaker,Long Gun,Weapon_SniperRifle_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/Sniper_Rifle/Weapon_SniperRifle.Weapon_SniperRifle_C
Chicago Typewriter,Long Gun,Weapon_TommyGun_C,summon /Game/World_Base/Items/Weapons/Longguns/Standard/TommyGun/Weapon_TommyGun.Weapon_TommyGun_C
Sparkfire Shotgun,Long Gun,Weapon_Sparkfire_C,summon /Game/World_DLC1/Items/Weapons/Buster/Weapon_Sparkfire.Weapon_Sparkfire_C
Trinity Crossbow,Bow,Weapon_Trinitycrossbow_C,summon /Game/World_DLC2/Items/Weapons/Trinitycrossbow/Weapon_Trinitycrossbow.Weapon_Trinitycrossbow_C
Cube Gun,Handgun,Weapon_CubeGun_C,summon /Game/World_Base/Items/Weapons/Handguns/Special/CubeGun/Weapon_CubeGun.Weapon_CubeGun_C
Corrupted Cube Gun,Handgun,Weapon_CorruptedCubeGun_C,summon /Game/Events/Valentines/Items/Weapons/CorruptedCubeGun/Weapon_CorruptedCubeGun.Weapon_CorruptedCubeGun_C
Enigma,Handgun,Weapon_Enigma_C,summon /Game/World_Base/Items/Weapons/Handguns/Special/Enigma/Weapon_Enigma.Weapon_Enigma_C
Hellfire,Handgun,Weapon_Hellfire_C,summon /Game/World_Base/Items/Weapons/Handguns/Special/Hellfire/Weapon_Hellfire.Weapon_Hellfire_C
Meridian,Handgun,Weapon_Meridian_C,summon /Game/World_Base/Items/Weapons/Handguns/Special/Meridian/Weapon_Meridian.Weapon_Meridian_C
Corrupted Meridian,Handgun,Weapon_CorruptedMeridian_C,summon /Game/World_Base/Items/Weapons/Handguns/Special/CorruptedMeridian/Weapon_CorruptedMeridian.Weapon_CorruptedMeridian_C
Nebula,Handgun,Weapon_Nebula_C,summon /Game/World_Base/Items/Weapons/Handguns/Special/Nebula/Weapon_Nebula.Weapon_Nebula_C
Corrupted Nebula,Handgun,Weapon_CorruptedNebula_C,summon /Game/Events/Valentines/Items/Weapons/CorruptedNebula/Weapon_CorruptedNebula.Weapon_CorruptedNebula_C
Rune Pistol,Handgun,Weapon_RunePistol_C,summon /Game/World_Base/Items/Weapons/Handguns/Special/RunePistol/Weapon_RunePistol.Weapon_RunePistol_C
Corrupted Rune Pistol,Handgun,Weapon_CorruptedRunePistol_C,summon /Game/World_Base/Items/Weapons/Handguns/Special/CorruptedRunePistol/Weapon_CorruptedRunePistol.Weapon_CorruptedRunePistol_C
Sorrow,Handgun,Weapon_Sorrow_C,summon /Game/World_Base/Items/Weapons/Handguns/Special/Sorrow/Weapon_Sorrow.Weapon_Sorrow_C
Corrupted Sorrow,Handgun,Weapon_CorruptedSorrow_C,summon /Game/Events/Valentines/Items/Weapons/CorruptedSorrow/Weapon_CorruptedSorrow.Weapon_CorruptedSorrow_C
Star Shot,Handgun,Weapon_StarShot_C,summon /Game/World_Base/Items/Weapons/Handguns/Special/StarShot/Weapon_StarShot.Weapon_StarShot_C
Anguish,Handgun,Weapon_Anguish_C,summon /Game/World_DLC1/Items/Weapons/Anguish/Weapon_Anguish.Weapon_Anguish_C
Redeemer,Handgun,Weapon_Redeemer_C,summon /Game/World_DLC3/Items/Weapons/Redeemer/Weapon_Redeemer.Weapon_Redeemer_C
Bolt Driver,Handgun,Weapon_BoltDriver_C,summon /Game/World_Base/Items/Weapons/Handguns/Standard/BoltDriver/Weapon_BoltDriver.Weapon_BoltDriver_C
Sureshot,Handgun,Weapon_HuntingPistol_C,summon /Game/World_Base/Items/Weapons/Handguns/Standard/HuntingPistol/Weapon_HuntingPistol.Weapon_HuntingPistol_C
Tech 22,Handgun,Weapon_MachinePistol_C,summon /Game/World_Base/Items/Weapons/Handguns/Standard/MachinePistol/Weapon_MachinePistol.Weapon_MachinePistol_C
Silverback Model 500,Handgun,Weapon_Magnum_C,summon /Game/World_Base/Items/Weapons/Handguns/Standard/Magnum/Weapon_Magnum.Weapon_Magnum_C
Rusty Repeater,Handgun,Weapon_Repeater_Rusty_C,summon /Game/World_Base/Items/Weapons/Handguns/Standard/Repeater/Weapon_Repeater_Rusty.Weapon_Repeater_Rusty_C
Repeater Pistol,Handgun,Weapon_Repeater_C,summon /Game/World_Base/Items/Weapons/Handguns/Standard/Repeater/Weapon_Repeater.Weapon_Repeater_C
Western Classic,Handgun,Weapon_Revolver_C,summon /Game/World_Base/Items/Weapons/Handguns/Standard/Revolver/Weapon_Revolver.Weapon_Revolver_C
Rupture Cannon,Handgun,Weapon_RuptureCannon_C,summon /Game/World_Base/Items/Weapons/Handguns/Standard/RuptureCannon/Weapon_RuptureCannon.Weapon_RuptureCannon_C
Service Pistol,Handgun,Weapon_ServicePistol_C,summon /Game/World_Base/Items/Weapons/Handguns/Standard/ServicePistol/Weapon_ServicePistol.Weapon_ServicePistol_C
Double Barrel,Handgun,Weapon_ShortBarrel_C,summon /Game/World_Base/Items/Weapons/Handguns/Standard/ShortBarrel/Weapon_ShortBarrel.Weapon_ShortBarrel_C
MP60-R,Handgun,Weapon_SMG_C,summon /Game/World_Base/Items/Weapons/Handguns/Standard/SMG/Weapon_SMG.Weapon_SMG_C
Repair Tool,Handgun,Weapon_RepairTool_C,summon /Game/World_DLC3/Items/Weapons/RepairTool/Weapon_RepairTool.Weapon_RepairTool_C
Dreamcatcher,Melee,Weapon_Dreamcatcher_C,summon /Game/World_Base/Items/Weapons/Melee/Special/Dreamcatcher/Weapon_Dreamcatcher.Weapon_Dreamcatcher_C
Hero's Sword,Melee,Weapon_HerosSword_C,summon /Game/World_Base/Items/Weapons/Melee/Special/HerosSword/Weapon_HerosSword.Weapon_HerosSword_C
Huntress Spear,Melee,Weapon_HuntressSpear_C,summon /Game/World_Base/Items/Weapons/Melee/Special/HuntressSpear/Weapon_HuntressSpear.Weapon_HuntressSpear_C
Labyrinth Staff,Melee,Weapon_LabyrinthStaff_C,summon /Game/World_Base/Items/Weapons/Melee/Special/LabyrinthStaff/Weapon_LabyrinthStaff.Weapon_LabyrinthStaff_C
World's Edge,Melee,Weapon_WorldsEdge_C,summon /Game/World_Base/Items/Weapons/Melee/Special/WorldsEdge/Weapon_WorldsEdge.Weapon_WorldsEdge_C
Ornate Flail,Melee,Weapon_OrnateFlail_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Flail/OrnateFlail/Weapon_OrnateFlail.Weapon_OrnateFlail_C
Krell Axe,Melee,Weapon_KrellAxe_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Hatchet/KrellAxe/Weapon_KrellAxe.Weapon_KrellAxe_C
Abyssal Hook,Melee,Weapon_AbyssalHook_C,summon /Game/World_DLC1/Items/Weapons/Melee/Special/AbyssalHook/Weapon_AbyssalHook.Weapon_AbyssalHook_C
Wrathbringer,Melee,Weapon_Wrathbringer_C,summon /Game/World_DLC1/Items/Weapons/Melee/Special/Wrathbringer/Weapon_Wrathbringer.Weapon_Wrathbringer_C
Ritualist Scythe,Melee,Weapon_RitualistScythe_C,summon /Game/World_DLC1/Items/Weapons/Melee/Scythe/Scythe_Ritualist/Weapon_RitualistScythe.Weapon_RitualistScythe_C
Crystal Staff,Melee,Weapon_CrystalStaff_C,summon /Game/World_DLC2/Items/Weapons/CrystalStaff/Weapon_CrystalStaff.Weapon_CrystalStaff_C
Mirage,Melee,Weapon_Mirage_C,summon /Game/World_DLC2/Items/Weapons/Flail_Mirage/Weapon_Mirage.Weapon_Mirage_C
Harvester Scythe,Melee,Weapon_HarvesterScythe_C,summon /Game/World_DLC3/Items/Weapons/HarvesterScythe/Weapon_HarvesterScythe.Weapon_HarvesterScythe_C
Black Greatsword,Melee,Weapon_BlackGreatsword_C,summon /Game/World_DLC3/Items/Weapons/BlackGreatsword/Weapon_BlackGreatsword.Weapon_BlackGreatsword_C
Dark Matter Gauntlets,Melee,Weapon_DarkMatterGauntlets_C,summon /Game/World_DLC3/Items/Weapons/DarkMatterGauntlets/Weapon_DarkMatterGauntlets.Weapon_DarkMatterGauntlets_C
Atom Splitter,Melee,Weapon_AtomSplitter_C,summon /Game/World_Base/Items/Weapons/Melee/Special/AtomSplitter/Weapon_AtomSplitter.Weapon_AtomSplitter_C
Feral Judgement,Melee,Weapon_FeralJudgment_C,summon /Game/World_Base/Items/Weapons/Melee/Special/FeralJudgment/Weapon_FeralJudgment.Weapon_FeralJudgment_C
Godsplitter,Melee,Weapon_Godsplitter_C,summon /Game/World_Base/Items/Weapons/Melee/Special/Godsplitter/Weapon_Godsplitter.Weapon_Godsplitter_C
Nightshade,Melee,Weapon_Nightshade_C,summon /Game/World_Base/Items/Weapons/Melee/Special/Nightshade/Weapon_Nightshade.Weapon_Nightshade_C
Red Doe Staff,Melee,Weapon_RedDoeStaff_C,summon /Game/World_Base/Items/Weapons/Melee/Special/RedDoeStaff/Weapon_RedDoeStaff.Weapon_RedDoeStaff_C
Smolder,Melee,Weapon_Smolder_C,summon /Game/World_Base/Items/Weapons/Melee/Special/Smolder/Weapon_Smolder.Weapon_Smolder_C
Spectral Blade,Melee,Weapon_SpectralBlade_C,summon /Game/World_Base/Items/Weapons/Melee/Special/SpectralBlade/Weapon_SpectralBlade.Weapon_SpectralBlade_C
Stonebreaker,Melee,Weapon_Stonebreaker_C,summon /Game/World_Base/Items/Weapons/Melee/Special/Stonebreaker/Weapon_Stonebreaker.Weapon_Stonebreaker_C
Gas Giant,Melee,Weapon_TalRatha_Hammer_C,summon /Game/World_Base/Items/Weapons/Melee/Special/TalRatha_Hammer/Weapon_TalRatha_Hammer.Weapon_TalRatha_Hammer_C
Decayed Claws,Melee,Weapon_DecayedClaws_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Claws/DecayedClaws/Weapon_DecayedClaws.Weapon_DecayedClaws_C
Knuckle Dusters,Melee,Weapon_KnuckleDusters_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Claws/KnuckleDusters/Weapon_KnuckleDusters.Weapon_KnuckleDusters_C
Rusted Claws,Melee,Weapon_Claws_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Claws/RustedClaws/Weapon_Claws.Weapon_Claws_C
Vice Grips,Melee,Weapon_ViceGrips_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Claws/Vice_Grips/Weapon_ViceGrips.Weapon_ViceGrips_C
Steel Flail,Melee,Weapon_Flail_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Flail/Flail_Steel_Base/Weapon_Flail.Weapon_Flail_C
Iron Greatsword,Melee,Weapon_Greatsword_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/GreatSword/IronGreatsword/Weapon_Greatsword.Weapon_Greatsword_C
Royal Broadsword,Melee,Weapon_RoyalBroadsword_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/GreatSword/RoyalBroadsword/Weapon_RoyalBroadsword.Weapon_RoyalBroadsword_C
Atom Smasher,Melee,Weapon_AtomSmasher_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Hammer/AtomSmasher/Weapon_AtomSmasher.Weapon_AtomSmasher_C
Scrap Hammer,Melee,Weapon_Hammer_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Hammer/Hammer/Weapon_Hammer.Weapon_Hammer_C
Bone Chopper,Melee,Weapon_BoneChopper_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Hatchet/BoneChopper/Weapon_BoneChopper.Weapon_BoneChopper_C
Scrap Hatchet,Melee,Weapon_Hatchet_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Hatchet/Hatchet/Weapon_Hatchet.Weapon_Hatchet_C
Edge Of The Forest,Melee,Weapon_EdgeOfTheForest_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Katana/EdgeOfTheForest/Weapon_EdgeOfTheForest.Weapon_EdgeOfTheForest_C
Steel Katana,Melee,Weapon_Katana_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Katana/Katana/Weapon_Katana.Weapon_Katana_C
Rebellion Spear,Melee,Weapon_RebellionSpear_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Spear/RebellionSpear/Weapon_RebellionSpear.Weapon_RebellionSpear_C
Steel Spear,Melee,Weapon_Spear_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Spear/Spear/Weapon_Spear.Weapon_Spear_C
Scrap Staff,Melee,Weapon_Staff_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Staff/Weapon_Staff.Weapon_Staff_C
Assassin's Dagger,Melee,Weapon_AssassinsDagger_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Sword/AssassinsDagger/Weapon_AssassinsDagger.Weapon_AssassinsDagger_C
Blade Of Gul,Melee,Weapon_BladeOfGul_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Sword/BladeOfGul/Weapon_BladeOfGul.Weapon_BladeOfGul_C
Blade Of Adventure,Melee,Weapon_BladeOfAdventure_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Sword/Graveyard/BladeOfAdventure/Weapon_BladeOfAdventure.Weapon_BladeOfAdventure_C
Ornate Blade,Melee,Weapon_OrnateBlade_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Sword/OrnateBlade/Weapon_OrnateBlade.Weapon_OrnateBlade_C
Steel Sword,Melee,Weapon_Sword_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Sword/Sword/Weapon_Sword.Weapon_Sword_C
Steel Scythe,Melee,Weapon_Scythe_C,summon /Game/World_DLC1/Items/Weapons/Melee/Scythe/Scythe/Weapon_Scythe.Weapon_Scythe_C
Shovel,Melee,Weapon_BasicShovel_C,summon /Game/World_DLC2/Items/Weapons/BasicShovel/Weapon_BasicShovel.Weapon_BasicShovel_C
Fist,Melee,Weapon_Fist_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Fist/Fist/Weapon_Fist.Weapon_Fist_C
Unarmed,Melee,Weapon_Unarmed_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Fist/Fist/Weapon_Unarmed.Weapon_Unarmed_C
Shovel,Melee,Weapon_Shovel_C,summon /Game/World_Base/Items/Weapons/Melee/Standard/Hatchet/ExplorerShovel/Weapon_Shovel.Weapon_Shovel_C
Academic's Overcoat,Body,Armor_Body_Alchemist_C,summon /Game/World_Base/Items/Armor/Archetype/Alchemist/Armor_Body_Alchemist.Armor_Body_Alchemist_C
Academic's Gloves,Gloves,Armor_Gloves_Alchemist_C,summon /Game/World_Base/Items/Armor/Archetype/Alchemist/Armor_Gloves_Alchemist.Armor_Gloves_Alchemist_C
Academic's Hat,Head,Armor_Head_Alchemist_C,summon /Game/World_Base/Items/Armor/Archetype/Alchemist/Armor_Head_Alchemist.Armor_Head_Alchemist_C
Academic's Trousers,Legs,Armor_Legs_Alchemist_C,summon /Game/World_Base/Items/Armor/Archetype/Alchemist/Armor_Legs_Alchemist.Armor_Legs_Alchemist_C
Labyrinth Mantle,Body,Armor_Body_Archon_C,summon /Game/World_Base/Items/Armor/Archetype/Arcanist/Armor_Body_Archon.Armor_Body_Archon_C
Labyrinth Gauntlets,Gloves,Armor_Gloves_Archon_C,summon /Game/World_Base/Items/Armor/Archetype/Arcanist/Armor_Gloves_Archon.Armor_Gloves_Archon_C
Labyrinth Headplate,Head,Armor_Head_Archon_C,summon /Game/World_Base/Items/Armor/Archetype/Arcanist/Armor_Head_Archon.Armor_Head_Archon_C
Labyrinth Treads,Legs,Armor_Legs_Archon_C,summon /Game/World_Base/Items/Armor/Archetype/Arcanist/Armor_Legs_Archon.Armor_Legs_Archon_C
Technician Bodyplate,Body,Armor_Body_Engineer_C,summon /Game/World_Base/Items/Armor/Archetype/Engineer/Armor_Body_Engineer.Armor_Body_Engineer_C
Technician Gloves,Gloves,Armor_Gloves_Engineer_C,summon /Game/World_Base/Items/Armor/Archetype/Engineer/Armor_Gloves_Engineer.Armor_Gloves_Engineer_C
Technician Helmet,Head,Armor_Head_Engineer_C,summon /Game/World_Base/Items/Armor/Archetype/Engineer/Armor_Head_Engineer.Armor_Head_Engineer_C
Technician Greaves,Legs,Armor_Legs_Engineer_C,summon /Game/World_Base/Items/Armor/Archetype/Engineer/Armor_Legs_Engineer.Armor_Legs_Engineer_C
Realmwalker Tunic,Body,Armor_Body_Explorer_C,summon /Game/World_Base/Items/Armor/Archetype/Explorer/Armor_Body_Explorer.Armor_Body_Explorer_C
Realmwalker Gloves,Gloves,Armor_Gloves_Explorer_C,summon /Game/World_Base/Items/Armor/Archetype/Explorer/Armor_Gloves_Explorer.Armor_Gloves_Explorer_C
Realmwalker Beret,Head,Armor_Head_Explorer_C,summon /Game/World_Base/Items/Armor/Archetype/Explorer/Armor_Head_Explorer.Armor_Head_Explorer_C
Realmwalker Pantaloons,Legs,Armor_Legs_Explorer_C,summon /Game/World_Base/Items/Armor/Archetype/Explorer/Armor_Legs_Explorer.Armor_Legs_Explorer_C
High Noon Duds,Body,Armor_Body_Gunslinger_C,summon /Game/World_Base/Items/Armor/Archetype/Gunslinger/Armor_Body_Gunslinger.Armor_Body_Gunslinger_C
High Noon Armguards,Gloves,Armor_Gloves_Gunslinger_C,summon /Game/World_Base/Items/Armor/Archetype/Gunslinger/Armor_Gloves_Gunslinger.Armor_Gloves_Gunslinger_C
